puma,pop2020,streetmiles
3603701,113700,79
3603702,148709,129
3603703,123837,162
3603704,130351,102
3603705,178035,100
3603706,134660,45
3603707,140204,48
3603708,144789,61
3603709,198808,114
3603710,159561,124
3603801,188800,72
3603802,127022,45
3603803,134068,43
3603804,122143,60
3603805,231983,61
3603806,207780,63
3603807,184640,86
3603808,163839,53
3603809,164237,58
3603810,169739,94
3603901,164508,396
3603902,141576,329
3603903,189663,294
3604001,176207,116
3604002,136869,66
3604003,153236,59
3604004,152369,95
3604005,115390,95
3604006,137748,59
3604007,134109,79
3604008,169643,135
3604009,204005,205
3604010,143132,87
3604011,110492,41
3604012,155282,91
3604013,133143,104
3604014,176543,85
3604015,162557,79
3604016,156693,126
3604017,198527,103
3604018,120104,74
3604101,186153,128
3604102,189960,101
3604103,270930,288
3604104,122366,242
3604105,199510,403
3604106,164781,189
3604107,153099,96
3604108,119706,88
3604109,162153,153
3604110,179288,167
3604111,151876,128
3604112,251096,261
3604113,130378,161
3604114,124185,169
